기간,지역,원자력,유연탄,무연탄,유류,LNG,양수,연료전지,석탄가스화,태양광,풍력,수력,해양,바이오,폐기물,기타,합계
2025-04-01,서울,0.0,0.0,0.0,0.0,802.346,0.0,87.22999999999999,0.0,47.80411500000001,0.0,0.0,0.0,5.8,0.0,27.950000000000003,971.130115
2025-04-01,부산,4550.0,19.0,0.0,0.0,1845.836,0.0,40.48,0.0,275.20129999999995,0.762,0.02,0.0,4.574,0.0,33.9,6769.7733
2025-04-01,대구,0.0,72.9,0.0,0.0,640.7,0.0,4.11,0.0,390.4740859999999,0.0,3.56,0.0,3.0,0.0,9.9,1124.6440859999998
2025-04-01,인천,0.0,5080.0,0.0,36.22999999999999,8576.747,0.0,265.1050000000001,0.0,181.41563499999995,49.0,12.599,0.0,76.33,0.0,30.78,14308.206635
2025-04-01,광주,0.0,0.0,0.0,0.0,115.246,0.0,21.035,0.0,361.4140009999994,0.0,1.83,0.0,2.12,0.0,3.96,505.6050009999994
2025-04-01,대전,0.0,0.0,0.0,0.0,48.3,0.0,7.165000000000001,0.0,64.33711,0.0,0.0,0.0,0.099,0.0,88.0,207.90111
2025-04-01,울산,2800.0,0.0,0.0,0.0,3619.3,0.0,45.658,0.0,145.71464000000032,0.0,0.3,0.0,0.0,0.0,18.2,6629.17264
2025-04-01,경기,0.0,253.355,0.0,39.35,17587.717,400.0,296.09000000000003,0.0,2004.3660760000128,5.271,275.954,254.0,62.523,0.0,51.45499999999999,21230.081076000013
2025-04-01,강원,0.0,7414.0,400.0,0.0,1279.2,1000.0,98.496,0.0,1932.075363000045,570.1980000000002,525.0949999999999,0.0,368.465,0.0,18.97,13606.499363000046
2025-04-01,충북,0.0,0.0,0.0,0.0,270.0,0.0,59.400000000000006,0.0,1577.365089000038,0.0,518.644,0.0,2.66,0.0,50.797,2478.8660890000383
2025-04-01,충남,0.0,18246.058,0.0,469.61,4208.45,0.0,82.72,346.33,3813.3281829999846,2.0,32.251,0.0,383.52,0.0,9.39,27593.65718299999
2025-04-01,전북,0.0,445.369,0.0,7.490000000000001,718.4000000000001,600.0,15.42,0.0,4635.98235200034,79.5,78.91699999999999,0.0,477.812,0.0,14.535,7073.42535200034
2025-04-01,전남,5900.0,981.1,0.0,22.43999999999999,2378.9,0.0,68.56,0.0,6158.947940000042,454.875,36.481,0.08,2.229,0.0,22.87,16026.611840000043
2025-04-01,경북,12800.0,156.1,0.0,18.5,361.6,1400.0,66.988,0.0,3947.977923000012,578.0097,179.95499999999998,0.0,1.5,0.0,38.935,19549.565623000013
2025-04-01,경남,0.0,8200.0,0.0,27.19,1130.972,1300.0,31.515,0.0,2026.9637100000384,101.786,145.469,0.0,14.86,0.0,6.783,12985.53871000004
2025-04-01,제주,0.0,0.0,0.0,6.890000000000001,492.53,0.0,0.0,0.0,627.2383950000003,421.97,0.8164,0.5,434.45,0.0,19.2,2003.5947950000004
2025-04-01,세종,0.0,0.0,0.0,0.0,1127.612,0.0,5.28,0.0,89.20762500000001,0.0,2.31,0.0,5.0,0.0,3.25,1232.659625
2025-03-01,서울,0.0,0.0,0.0,0.0,802.346,0.0,87.22999999999999,0.0,47.747925000000016,0.0,0.0,0.0,5.8,0.0,27.950000000000003,971.073925
2025-03-01,부산,4550.0,19.0,0.0,0.0,1845.836,0.0,40.48,0.0,270.01552000000004,0.762,0.02,0.0,4.574,0.0,33.9,6764.58752
2025-03-01,대구,0.0,72.9,0.0,0.0,640.7,0.0,4.11,0.0,386.7410259999999,0.0,3.56,0.0,3.0,0.0,9.9,1120.9110259999998
2025-03-01,인천,0.0,5080.0,0.0,36.22999999999999,8576.747,0.0,255.42500000000004,0.0,178.51177999999993,49.0,12.599,0.0,76.33,0.0,30.78,14295.622779999998
2025-03-01,광주,0.0,0.0,0.0,0.0,115.246,0.0,21.035,0.0,352.3198609999998,0.0,1.83,0.0,2.12,0.0,3.96,496.51086099999975
2025-03-01,대전,0.0,0.0,0.0,0.0,48.3,0.0,7.165000000000001,0.0,63.73412999999999,0.0,0.0,0.0,0.099,0.0,88.0,207.29813
2025-03-01,울산,2800.0,0.0,0.0,0.0,3619.3,0.0,45.658,0.0,140.16772000000023,0.0,0.3,0.0,0.0,0.0,18.2,6623.62572
2025-03-01,경기,0.0,253.355,0.0,39.35,17587.717,400.0,296.09000000000003,0.0,1968.2043210000104,5.271,275.954,254.0,62.523,0.0,51.45499999999999,21193.91932100001
2025-03-01,강원,0.0,7414.0,400.0,0.0,1279.2,1000.0,98.496,0.0,1918.848963000045,570.1980000000002,523.795,0.0,368.465,0.0,18.97,13591.972963000047
2025-03-01,충북,0.0,0.0,0.0,0.0,270.0,0.0,59.400000000000006,0.0,1554.380879000039,0.0,518.644,0.0,2.66,0.0,50.537,2455.62187900004
2025-03-01,충남,0.0,18246.058,0.0,469.61,4208.45,0.0,82.72,346.33,3724.732152999984,2.0,32.251,0.0,383.52,0.0,9.39,27505.061152999988
2025-03-01,전북,0.0,445.369,0.0,7.490000000000001,718.4000000000001,600.0,15.42,0.0,4602.043212000333,79.5,78.91699999999999,0.0,477.812,0.0,14.535,7039.486212000335
2025-03-01,전남,5900.0,981.1,0.0,22.43999999999999,2378.9,0.0,68.56,0.0,6105.18511500002,454.875,36.526,0.08,2.229,0.0,22.87,15972.894015000022
2025-03-01,경북,12800.0,156.1,0.0,18.5,361.6,1400.0,66.988,0.0,3904.831388000003,578.0097,179.95499999999998,0.0,1.5,0.0,38.935,19506.419088
