발전원,지역구분,시도구분,개수,용량,지역개수,지역용량,연도
태양광,강원특별자치도,강릉시,120,10046.06,1420.0,163529.16,2024
태양광,강원특별자치도,고성군,116,11968.6,1420.0,163529.16,2024
태양광,강원특별자치도,동해시,10,572.25,1420.0,163529.16,2024
태양광,강원특별자치도,삼척시,34,10617.11,1420.0,163529.16,2024
태양광,강원특별자치도,속초시,10,619.97,1420.0,163529.16,2024
태양광,강원특별자치도,양구군,49,4152.58,1420.0,163529.16,2024
태양광,강원특별자치도,양양군,7,578.81,1420.0,163529.16,2024
태양광,강원특별자치도,영월군,80,7305.37,1420.0,163529.16,2024
태양광,강원특별자치도,원주시,175,13391.69,1420.0,163529.16,2024
태양광,강원특별자치도,인제군,104,9267.59,1420.0,163529.16,2024
태양광,강원특별자치도,정선군,20,1535.11,1420.0,163529.16,2024
태양광,강원특별자치도,철원군,108,10102.45,1420.0,163529.16,2024
태양광,강원특별자치도,춘천시,57,4900.37,1420.0,163529.16,2024
태양광,강원특별자치도,태백시,16,4238.78,1420.0,163529.16,2024
태양광,강원특별자치도,평창군,104,30993.26,1420.0,163529.16,2024
태양광,강원특별자치도,홍천군,261,22376.28,1420.0,163529.16,2024
태양광,강원특별자치도,화천군,101,17950.84,1420.0,163529.16,2024
태양광,강원특별자치도,횡성군,48,2912.04,1420.0,163529.16,2024
태양광,경기도,가평군,25,3091.5,1689.0,154402.04,2024
태양광,경기도,고양시 덕양구,14,1396.0,1689.0,154402.04,2024
태양광,경기도,고양시 일산동구,14,2495.32,1689.0,154402.04,2024
태양광,경기도,고양시 일산서구,8,698.2,1689.0,154402.04,2024
태양광,경기도,광명시,0,0.0,0.0,0.0,2024
태양광,경기도,광주시,42,2729.1,1689.0,154402.04,2024
태양광,경기도,구리시,0,0.0,0.0,0.0,2024
태양광,경기도,군포시,0,0.0,0.0,0.0,2024
태양광,경기도,김포시,92,6199.7,1689.0,154402.04,2024
태양광,경기도,남양주시,28,2797.6,1689.0,154402.04,2024
태양광,경기도,동두천시,0,0.0,0.0,0.0,2024
태양광,경기도,부천시 원미구,0,0.0,0.0,0.0,2024
태양광,경기도,성남시 분당구,0,0.0,0.0,0.0,2024
태양광,경기도,수원시 권선구,9,414.9,1689.0,154402.04,2024
태양광,경기도,수원시 영통구,0,0.0,0.0,0.0,2024
태양광,경기도,수원시 장안구,0,0.0,0.0,0.0,2024
태양광,경기도,수원시 팔달구,0,0.0,0.0,0.0,2024
태양광,경기도,시흥시,38,3897.7,1689.0,154402.04,2024
태양광,경기도,안산시 단원구,27,2967.03,1689.0,154402.04,2024
태양광,경기도,안산시 상록구,0,0.0,0.0,0.0,2024
태양광,경기도,안성시,219,18673.72,1689.0,154402.04,2024
태양광,경기도,안양시 동안구,0,0.0,0.0,0.0,2024
태양광,경기도,양주시,56,4288.38,1689.0,154402.04,2024
태양광,경기도,양평군,58,3610.4,1689.0,154402.04,2024
태양광,경기도,여주시,106,9682.39,1689.0,154402.04,2024
태양광,경기도,연천군,176,20335.81,1689.0,154402.04,2024
태양광,경기도,오산시,0,0.0,0.0,0.0,2024
태양광,경기도,용인시 기흥구,5,461.0,1689.0,154402.04,2024
태양광,경기도,용인시 처인구,48,4020.04,1689.0,154402.04,2024
태양광,경기도,의왕시,0,0.0,0.0,0.0,2024
태양광,경기도,이천시,97,10036.58,1689.0,154402.04,2024
태양광,경기도,파주시,112,8350.25,1689.0,154402.04,2024
태양광,경기도,평택시,99,8531.93,1689.0,154402.04,2024
태양광,경기도,포천시,137,14932.67,1689.0,154402.04,2024
태양광,경기도,하남시,9,1126.0,1689.0,154402.04,2024
태양광,경기도,화성시,270,23665.82,1689.0,154402.04,2024
태양광,경상남도,거제시,30,923.17,1761.0,161148.91,2024
태양광,경상남도,거창군,162,18778.03,1761.0,161148.91,2024
태양광,경상남도,고성군,60,5116.79,1761.0,161148.91,2024
태양광,경상남도,김해시,90,11131.05,1761.0,161148.91,2024
태양광,경상남도,남해군,116,4455.55,1761.0,161148.91,2024
태양광,경상남도,밀양시,135,10317.81,1761.0,161148.91,2024
태양광,경상남도,사천시,100,9554.67,1761.0,161148.91,2024
