연도,광역지자체_x,신재생에너지 합계,재생에너지 합계,신에너지 합계,신재생에너지공급비중,태양광,풍력,수력,해양,바이오,재생폐기물,연료전지,IGCC,시도코드,광역지자체_y,가로등,교육용,농사용,산업용,일반용,주택용,심야,기타,총합,자립도(%),광역지자체,탄소회피량
2023,서울,755498,361266,394232,1.25,272765,184,334,0,27069,60915,394232,0,11,서울특별시,260990352,1885995252,22301529,4864337700,26697377957,15058819147,0,429133956,49218955893,0.0015349736423552376,서울,32033115.2
2023,부산,738393,421541,316852,1.22,366024,63,127,0,16435,38893,316852,0,26,부산광역시,155231173,494325327,117551852,8066176822,7250861600,5293167185,0,178351184,21555665143,0.0034255171209123473,부산,31307863.2
2023,대구,560890,544440,16450,0.93,497336,16525,14033,0,10691,5854,16450,0,27,대구광역시,127714759,382717124,128901809,6680984976,5012744050,3802042765,0,153744130,16288849613,0.0034433984801011254,대구,23781736.000000004
2023,인천,1966319,574288,1392031,3.26,267782,24693,13477,0,258055,10281,1392031,0,28,인천광역시,154104156,394573429,164846184,12954064245,7015460966,5021453826,0,171165785,25875668591,0.007599104127821142,인천,83371925.59999998
2023,광주,598721,418128,180593,0.99,404724,7,5028,0,2001,6367,180593,0,29,광주광역시,74379211,311703341,91873294,3084244048,3133763207,2320869723,0,66409344,9083242168,0.0065914900090330835,광주,25385770.400000002
2023,대전,225941,142121,83819,0.37,138597,351,217,0,115,2842,83819,0,30,대전광역시,70748173,442830378,38806364,2983823781,3997479406,2246402144,0,142048887,9922139133,0.0022771400095423352,대전,9579898.399999999
2023,울산,692284,419542,272742,1.15,182853,17,1037,0,231332,4303,272742,0,31,울산광역시,78977229,211878418,90311417,27447848256,2221693510,1710669853,0,64748012,31826126695,0.002175206573625437,울산,29352841.6
2023,세종,171556,133029,38527,0.28,123817,0,0,0,6134,3078,38527,0,36,세종특별자치시,37296602,88744400,97186020,2057190553,919108303,672835778,0,63132617,3935494273,0.004359198314097001,세종,7273974.400000001
2023,경기,5672313,4046029,1626284,9.39,2346126,3409,743505,437534,434457,80998,1626284,0,41,경기도,829978132,1781973566,2831560421,75112180209,35634608404,22146784673,0,1974961729,140312047134,0.00404264146654696,경기,240506071.2
2023,강원,6510882,6059528,451355,10.78,2315785,960841,946355,0,1816738,19808,451355,0,51,강원특별자치도,191655697,361121650,829822191,6811432104,5227531089,2470661669,0,1222430203,17114654603,0.038042730928725364,강원,276061396.8
2023,충북,3261546,2921617,339929,5.4,1882953,67,1002139,0,7753,28706,339929,0,43,충청북도,181998802,345351066,1017816685,20301547698,4151180010,2561280212,0,891622838,29450797311,0.011074559257456158,충북,138289550.4
2023,충남,8600653,7082180,1518473,14.24,3991277,736,54553,0,3019373,16241,521956,996517,44,충청남도,175595288,497032219,2624279858,36462450363,5421158236,3466590966,0,979627323,49626734253,0.017330685021813782,충남,364667687.20000005
2023,전북,10205081,10070791,134290,16.9,5764753,143664,252879,0,3891039,18456,134290,0,52,전라북도,191438147,390560031,1946575650,11530779536,4091280876,2708299880,0,584513566,21443447686,0.04759067268209251,전북,432695434.4
2023,전남,8247703,7921805,325898,13.66,7086350,643958,79929,28,47158,64382,325898,0,46,전라남도,236134055,333497901,4103477392,21835629054,4318167085,2764246646,0,393713556,33984865689,0.024268752672074154,전남,349702607.2
